Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Battery,
"C1, C12, C15, C18, C21, C24, C6, C9",0603,8,3.3nF 100V,
"C10, C13, C16, C19, C22, C25, C3, C4, C7",0603,9,4.7uF 6.3V,
"C11, C14, C17, C2, C20, C23, C5, C8",0603,8,100nF 6.3V,
"D1, D2, D3, D4, D5, D6, D7, D8",SOT-23,8,BAS21,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
"J1, J2, J3, J4, J5, J6, J7, J8",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,8,JST PH series,
"L1, L2, L3, L4, L5, L6, L7, L8",L_Changjiang_FNR3015S,8,220uH,
R1,0603,1,470k,
"R10, R13, R16, R19, R22, R25, R28, R6",0603,8,560k,
"R11, R14, R17, R20, R23, R26, R29, R7",0603,8,2.0M,
"R12, R15, R18, R21, R24, R27, R8, R9",1206,8,560k,
R2,0603,1,2k,
R3,0603,1,1M,
SW1,SW_Tactile_SPST_Angled_PTS645Vx31-2LFS,1,SW_Push,
U1,WEMOS_D1_mini_light,1,WeMos_D1_mini,
"U10, U3, U4, U5, U6, U7, U8, U9",MSOP-8_3x3mm_P0.65mm,8,HV857MG-G,
U11,SOT-23-5,1,MCP73812T-435I-OT,
